"id","disallowed_expenses_category_id"
"a241000","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a241100","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a610200","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a610210","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205_1"
"a610211","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205_1"
"a610212","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205_1"
"a610213","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205_1"
"a610220","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a61031","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205_1"
"a611201","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a612901","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a61291","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a613311","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1216"
"a61440","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a616506","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a616510","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205_2"
"a616540","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1207"
"a616541","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1207"
"a623401","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1207"
"a616580","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1208"
"a62361","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1208"
"a640200","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1205"
"a6450","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1203"
"a613311","l10n_be_disallowed_expenses.demo_disallowed_expenses_category_1073"
